Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
NC_034400.1,Quezon virus,,"Arai,S., Taniguchi,S., Aoki,K., Yoshikawa,Y., Kyuwa,S., Tanaka-Taya,K., Masangkay,J.S., Omatsu,T., Puentespina,R. Jr., Watanabe,S., Alviola,P., Alvarez,J., Eres,E., Cosico,E., Quibod,M.N., Morikawa,S., Yanagihara,R., Oishi,K., Puentespina,R., Puentespina,R.P. Jr., Quibod,N.","National Center for Biotechnology Information, NIH",USA,2017-05-01T00:00:00Z,,Quezon mobatvirus,Mobatvirus,Hantaviridae,ssRNA(-),1830,RefSeq,complete,,S,1,"Philippines: Quezon NAS, Luzon Island",Philippines,,Rousettus amplexicaudatus,lung,2009/3/16,,"Quezon virus clone MT1720/1657 segment S, complete sequence"
NC_034401.1,Quezon virus,,"Arai,S., Taniguchi,S., Aoki,K., Yoshikawa,Y., Kyuwa,S., Tanaka-Taya,K., Masangkay,J.S., Omatsu,T., Puentespina,R. Jr., Watanabe,S., Alviola,P., Alvarez,J., Eres,E., Cosico,E., Quibod,M.N., Morikawa,S., Yanagihara,R., Oishi,K., Puentespina,R., Puentespina,R.P. Jr., Quibod,N.","National Center for Biotechnology Information, NIH",USA,2017-05-01T00:00:00Z,,Quezon mobatvirus,Mobatvirus,Hantaviridae,ssRNA(-),6556,RefSeq,complete,,L,1,"Philippines: Quezon NAS, Luzon Island",Philippines,,Rousettus amplexicaudatus,lung,2009/3/16,,"Quezon virus clone MT1720/1657 segment L, complete sequence"
NC_034402.1,Bruges virus,,"Laenen,L., Vergote,V., Kafetzopoulou,L.E., Wawina,T.B., Vassou,D., Cook,J.A., Hugot,J.P., Deboutte,W., Kang,H.J., Witkowski,P.T., Koppen-Rung,P., Kruger,D.H., Lickova,M., Stang,A., Strieskova,L., Szemes,T., Markowski,J., Hejduk,J., Kafetzopoulos,D., Van Ranst,M., Yanagihara,R., Klempa,B., Maes,P.","National Center for Biotechnology Information, NIH",USA,2017-05-01T00:00:00Z,,Bruges orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),6538,RefSeq,complete,,L,1,Belgium,Belgium,,Talpa europaea,"kidney, abdominal cavity",2013/12/9,,"Bruges hantavirus strain BE/Vieux-Genappe/TE/2013/1 RNA-dependent RNA polymerase gene, complete cds"
NC_034403.1,Montano orthohantavirus,,"Kariwa,H., Saasa,N., Sanchez-Hernandez,C., Romero-Almaraz,M., Yoshida,H., Almazan-Catalan,A., Miyashita,D., Ishizuka,M., Seto,T., Sanada,T., Ramos,C., Yoshimatsu,K., Arikawa,J., Yoshii,K., Takashima,I.","National Center for Biotechnology Information, NIH",USA,2017-05-01T00:00:00Z,104/2006,Montano orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),6529,RefSeq,complete,,L,,Mexico: Guerrero,Mexico,,Peromyscus beatae,lung,2006/5/12,,"Montano virus gene for RNA-dependent RNA polymerase, complete cds, isolate: 104/2006"
NC_034404.1,Jeju virus,,"Arai,S., Gu,S.H., Baek,L.J., Tabara,K., Bennett,S.N., Oh,H.S., Takada,N., Kang,H.J., Tanaka-Taya,K., Morikawa,S., Okabe,N., Yanagihara,R., Song,J.W., Song,J.-W.","National Center for Biotechnology Information, NIH",USA,2017-05-01T00:00:00Z,,Jeju orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),3570,RefSeq,complete,,M,1,South Korea,South Korea,,Crocidura shantungensis,lung,2010/4/29,,"Jeju virus strain 10-11 glycoprotein precursor, gene, complete cds"
NC_034405.1,Bowe virus,,"Gu,S.H., Nicolas,V., Lalis,A., Sathirapongsasuti,N., Yanagihara,R., Denys,C.","National Center for Biotechnology Information, NIH",USA,2017-05-01T00:00:00Z,,Bowe orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),1731,RefSeq,complete,,S,1,Guinea,Guinea,,Crocidura douceti,muscle,2012/2/20,,"Bowe virus strain VN1512 nucleocapsid gene, complete cds"
NC_034406.1,Bowe virus,,"Gu,S.H., Nicolas,V., Lalis,A., Sathirapongsasuti,N., Yanagihara,R., Denys,C.","National Center for Biotechnology Information, NIH",USA,2017-05-01T00:00:00Z,,Bowe orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),3597,RefSeq,complete,,M,1,Guinea,Guinea,,Crocidura douceti,muscle,2012/2/20,,"Bowe virus strain VN1512 glycoprotein gene, complete cds"
NC_034407.1,Bowe virus,,"Gu,S.H., Nicolas,V., Lalis,A., Sathirapongsasuti,N., Yanagihara,R., Denys,C.","National Center for Biotechnology Information, NIH",USA,2017-05-01T00:00:00Z,,Bowe orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),6551,RefSeq,complete,,L,1,Guinea,Guinea,,Crocidura douceti,muscle,2012/2/20,,"Bowe virus strain VN1512 RNA-dependent RNA polymerase gene, complete cds"
NC_010704.1,Thottopalayam virus,,"Song,J.-W., Baek,L.J., Schmaljohn,C., Yanagihara,R., Schmaljohn,C.S., Toney,A.","National Center for Biotechnology Information, NIH",USA,2008-05-20T00:00:00Z,,Thottapalayam thottimvirus,Thottimvirus,Hantaviridae,ssRNA(-),1530,RefSeq,complete,,S,,India,India,,Suncus murinus,,,,"Thottapalayam virus segment S, complete sequence"
NC_010707.1,Thottopalayam virus,,"Yadav,P.D., Vincent,M.J., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2008-05-20T00:00:00Z,,Thottapalayam thottimvirus,Thottimvirus,Hantaviridae,ssRNA(-),6581,RefSeq,complete,,L,1,"India: Vellore, Tamil Nadu",India,,Suncus murinus,,1964,,"Thottapalayam virus segment L, complete sequence"
NC_010708.1,Thottopalayam virus,,"Yadav,P.D., Vincent,M.J., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2008-05-20T00:00:00Z,,Thottopalayam thottimvirus,Thottimvirus,Hantaviridae,ssRNA(-),3621,RefSeq,complete,,M,1,"India: Vellore, Tamil Nadu",India,,Suncus murinus,,1964,,"Thottapalayam virus segment M, complete sequence"
NC_006433.1,Hantavirus Z10,,"Zhihui,Y., Guanmu,D., Yongxin,Y., Zhiyong,Z., Wenxue,L.","National Center for Biotechnology Information, NIH",USA,2004-11-13T00:00:00Z,,Hantavirus Z10,Orthohantavirus,Hantaviridae,ssRNA(-),1701,RefSeq,complete,,S,,,,,,,,,"Hantavirus Z10 chromosome S segment, complete genome"
NC_006435.1,Hantavirus Z10,,"Zhihui,Y., Guanmu,D., Yongxin,Y., Zhiyong,Z., Wenxue,L., Xiaoheng,D.","National Center for Biotechnology Information, NIH",USA,2004-11-13T00:00:00Z,,Hantavirus Z10,Orthohantavirus,Hantaviridae,ssRNA(-),6533,RefSeq,complete,,L,,,,,,,,,"Hantavirus Z10 chromosome L, complete genome"
NC_006437.1,Hantavirus Z10,,"Zhu,H.P., Liu,H.B., Yao,P.P., Zhu,Z.Y.","National Center for Biotechnology Information, NIH",USA,2004-11-13T00:00:00Z,,Hantavirus Z10,Orthohantavirus,Hantaviridae,ssRNA(-),3616,RefSeq,complete,,M,,,,,,,,,"Hantavirus Z10 segment M, complete genome"
NC_005233.1,Dobrava-Belgrade orthohantavirus,,"Nemirov,K., Vapalahti,O., Papa,A., Plyusnina,A., Lundkvist,A., Antoniadis,A., Vaheri,A., Plyusnin,A.","National Center for Biotechnology Information, NIH",USA,2003-11-25T00:00:00Z,,Dobrava-Belgrade orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),1673,RefSeq,complete,,,1,Greece:Ano-Poroia,Greece,,Apodemus flavicollis,,,SAMEA3283064,"Dobrava virus complete S segment gene for nucleocapsid protein, strain DOBV/Ano-Poroia/Afl9/1999"
NC_005234.1,Dobrava-Belgrade orthohantavirus,,"Nemirov,K., Vapalahti,O., Papa,A., Plyusnina,A., Lundkvist,A., Antoniadis,A., Vaheri,A., Plyusnin,A.","National Center for Biotechnology Information, NIH",USA,2003-11-25T00:00:00Z,,Dobrava-Belgrade orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),3635,RefSeq,complete,,,1,Greece:Ano-Poroia,Greece,,Apodemus flavicollis,,,SAMEA3283064,"Dobrava virus complete M segment gene for glycoprotein precursor (G1-G2), strain DOBV/Ano-Poroia/Afl9/1999)"
NC_005235.1,Dobrava-Belgrade orthohantavirus,,"Nemirov,K., Vapalahti,O., Papa,A., Plyusnina,A., Lundkvist,A., Antoniadis,A., Vaheri,A., Plyusnin,A., Henttonen,H.","National Center for Biotechnology Information, NIH",USA,2003-11-25T00:00:00Z,,Dobrava-Belgrade orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),6532,RefSeq,complete,,,2,Greece:Ano-Poroia,Greece,,Apodemus flavicollis,,,SAMEA3283064,"Dobrava virus complete L segment gene for polymerase protein, strain DOBV/Ano-Poroia/Afl9/1999)"
NC_005236.1,Seoul orthohantavirus,,"Song,J.-W., Moon,J.Y., Baek,L.J., Song,K.-J.","National Center for Biotechnology Information, NIH",USA,2003-11-25T00:00:00Z,,Seoul orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),1769,RefSeq,complete,,S,,South Korea,South Korea,,Rattus norvegicus,,,,"Seoul virus strain 80-39 segment S, complete sequence"
NC_005237.1,Seoul orthohantavirus,,"Antic,D., Lim,B.U., Kang,C.Y.","National Center for Biotechnology Information, NIH",USA,2003-11-25T00:00:00Z,,Seoul orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),3651,RefSeq,complete,,M,1,,,,,,,,"Seoul virus segment M, complete sequence"
NC_005238.1,Seoul orthohantavirus,,"Antic,D., Lim,B.U., Kang,C.Y., Yong Kang,C.","National Center for Biotechnology Information, NIH",USA,2003-11-25T00:00:00Z,,Seoul orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),6530,RefSeq,complete,,L,1,,,,,,,,Seoul virus strain Seoul 80-39 clone 1
NC_005226.1,Tula orthohantavirus,,"Kukkonen,S.K.J., Vaheri,A., Plyusnin,A.","National Center for Biotechnology Information, NIH",USA,2003-11-21T00:00:00Z,,Tula orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),6541,RefSeq,complete,,L,,,,,,,,,"Tula virus segment L, complete sequence"
NC_005227.2,Tula orthohantavirus,,"Plyusnin,A., Cheng,Y., Vapalahti,O., Pejcoch,M., Unar,J., Jelinkova,Z., Lehvaslaiho,H., Lundkvist,A., Vaheri,A.","National Center for Biotechnology Information, NIH",USA,2003-11-21T00:00:00Z,,Tula orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),1831,RefSeq,complete,,S,1,,,,,,,,"Tula virus segment S, complete genome"
NC_005228.1,Tula orthohantavirus,,"Vapalahti,O., Lundkvist,A., Kukkonen,S.K., Cheng,Y., Gilljam,M., Kanerva,M., Manni,T., Pejcoch,M., Niemimaa,J., Kaikusalo,A., Henttonen,H., Vaheri,A., Plyusnin,A.","National Center for Biotechnology Information, NIH",USA,2003-11-21T00:00:00Z,,Tula orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),3694,RefSeq,complete,,M,1,,,,,,,,"Tula virus segment M, complete sequence"
NC_005215.1,Sin Nombre orthohantavirus,,"Spiropoulou,C.F., Morzunov,S., Feldmann,H., Sanchez,A., Peters,C.J., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2003-11-18T00:00:00Z,NM H10,Sin Nombre orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),3696,RefSeq,complete,,M,1,,,,Homo sapiens,,,,"Sin Nombre virus segment M, complete genome"
NC_005216.1,Sin Nombre orthohantavirus,,"Spiropoulou,C.F., Morzunov,S., Feldmann,H., Sanchez,A., Peters,C.J., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2003-11-18T00:00:00Z,case H10,Sin Nombre orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),2059,RefSeq,complete,,S,1,,,,,,,,"Sin Nombre virus segment S, complete sequence"
NC_005217.1,Sin Nombre orthohantavirus,,"Chizhikov,V.E., Spiropoulou,C.F., Morzunov,S.P., Monroe,M.C., Peters,C.J., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2003-11-18T00:00:00Z,NM H10,Sin Nombre orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),6562,RefSeq,complete,,L,1,,,,Homo sapiens,,,,Sin Nombre virus map viral genome L segment
NC_005218.1,Hantaan orthohantavirus,,"Schmaljohn,C.S., Jennings,G.B., Hay,J., Dalrymple,J.M.","National Center for Biotechnology Information, NIH",USA,2003-11-18T00:00:00Z,,Hantaan orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),1696,RefSeq,complete,,,1,,,,,,,,"Hantaan virus, complete genome"
NC_005219.1,Hantaan orthohantavirus,,"Schmaljohn,C.S., Schmaljohn,A.L., Dalrymple,J.M.","National Center for Biotechnology Information, NIH",USA,2003-11-18T00:00:00Z,,Hantaan orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),3616,RefSeq,complete,,,1,,,,,,,,"Hantaan virus, complete genome"
NC_005222.1,Hantaan orthohantavirus,,"Schmaljohn,C.S.","National Center for Biotechnology Information, NIH",USA,2003-11-18T00:00:00Z,,Hantaan orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),6533,RefSeq,complete,,L,1,,,,,,,,"Hantaan virus segment L, complete genome"
NC_005223.1,Puumala orthohantavirus,,"Vapalahti,O., Kallio-Kokko,H., Salonen,E.M., Brummer-Korvenkontio,M., Vaheri,A., Vapalahti,O.P.","National Center for Biotechnology Information, NIH",USA,2003-11-18T00:00:00Z,,Puumala orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),3682,RefSeq,complete,,M,1,,,,,,,,"Puumala virus segment M, complete sequence"
NC_005224.1,Puumala orthohantavirus,,"Vapalahti,O., Kallio-Kokko,H., Salonen,E.M., Brummer-Korvenkontio,M., Vaheri,A., Vapalahti,O.P.","National Center for Biotechnology Information, NIH",USA,2003-11-18T00:00:00Z,,Puumala orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),1830,RefSeq,complete,,S,1,,,,,,,,"Puumala virus segment S, complete sequence"
NC_005225.1,Puumala orthohantavirus,,"Piiparinen,H., Vapalahti,O., Plyusnin,A., Vaheri,A., Lankinen,H.","National Center for Biotechnology Information, NIH",USA,2003-11-18T00:00:00Z,,Puumala orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),6550,RefSeq,complete,,L,,,,,,,,,"Puumala virus segment L, complete genome"
NC_003466.1,Andes orthohantavirus,,"Meissner,J., Rowe,J., Borucki,M., St  Jeor,S., Bohlman,M.C., Morzunov,S.P., Taylor,M.B., Ishibashi,K., Levis,S., Enria,D., St  Jeor,S.C., Meissner,J.D., St. Jeor,S.C.","National Center for Biotechnology Information, NIH",USA,2000-10-10T00:00:00Z,,Andes orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),1871,RefSeq,complete,,S,2,,,,,,,,"Andes virus segment S, complete sequence"
NC_003467.2,Andes orthohantavirus,,"Meissner,J.D., Rowe,J.E., Borucki,M.K., St  Jeor,S.C., St. Jeor,S.C.","National Center for Biotechnology Information, NIH",USA,2000-10-10T00:00:00Z,,Andes orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),3671,RefSeq,complete,,M,1,,,,,,,,"Andes virus segment M, complete genome"
NC_003468.2,Andes orthohantavirus,,"Meissner,J.D., Rowe,J.E., Borucki,M.K., St  Jeor,S.C., St. Jeor,S.C.","National Center for Biotechnology Information, NIH",USA,2000-10-10T00:00:00Z,,Andes orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),6562,RefSeq,complete,,L,1,,,,,,,,"Andes virus segment L, complete genome"
